
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: J1                        :      6.533u      0.050s      0.996w     37 calls
| | | JK: J2                        :      6.367u      0.067s      0.977w     37 calls
| | JK: K                           :    193.500u      0.417s     29.150w     37 calls
| | | JK: K1                        :    174.117u      0.400s     26.239w     37 calls
| | | JK: K2                        :     19.317u      0.017s      2.904w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.067u      0.000s      0.013w     37 calls
HF: Form D                          :      0.067u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.350u      0.450s      0.725w     34 calls
| DIISManager::add_entry            :      0.517u      0.167s      0.108w     34 calls
| DIISManager::extrapolate          :      1.350u      0.283s      0.241w     34 calls
| | bMatrix setup                   :      0.617u      0.167s      0.116w     34 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     34 calls
| | New vector                      :      0.733u      0.117s      0.121w     34 calls
HF: Form C                          :     14.917u      0.300s      2.284w     34 calls
DF Integrals                        :    369.417u     22.767s     68.071w      1 calls
Omega Integrals                     :      3.267u      2.150s      1.751w      1 calls
Amplitudes                          :    849.500u     17.717s    138.795w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.003w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     54.917u      1.583s      8.489w      1 calls
Exch-Ind20,r                        :      1.333u      0.250s      0.237w      1 calls
Disp20                              :      3.667u      0.183s      0.578w      1 calls
Exch-Disp20                         :     48.200u      0.767s      7.426w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.617u      0.083s      0.106w      1 calls
Exch12                              :    335.700u     12.117s     56.418w      1 calls
Ind22                               :     40.567u      7.867s     10.199w      1 calls
Disp21                              :      1.867u      0.467s      0.351w      1 calls
Disp22 (SDQ)                        :     85.000u      4.833s     14.477w      1 calls
Disp22 (T)                          :   5040.017u     37.000s    762.749w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 21:30:30 2019
Timers Off: Mon Sep  9 21:48:04 2019

Wall Time:     1054.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     25.600u      0.000s      3.846w      1 calls
JK: (A|Q)^-1/2                      :      2.600u      0.050s      0.399w      1 calls
JK: (Q|mn)                          :     14.550u      0.033s      2.189w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.104w      3 calls
HF: Form S/X                        :      1.233u      0.033s      0.188w      3 calls
HF: Guess                           :     11.233u      0.300s      1.739w      3 calls
SAD Guess                           :     11.033u      0.300s      1.701w      3 calls
HF: Form G                          :    209.350u      1.317s     31.664w     37 calls
JK: D                               :      0.100u      0.000s      0.012w     37 calls
JK: USO2AO                          :      0.067u      0.000s      0.013w     37 calls
JK: JK                              :    209.050u      1.317s     31.613w     37 calls
JK: J                               :     12.983u      0.067s      1.952w     37 calls
JK: J1                              :      6.367u      0.017s      0.966w     37 calls
JK: J2                              :      6.217u      0.050s      0.945w     37 calls
JK: K                               :    192.100u      0.200s     28.898w     37 calls
JK: K1                              :    172.767u      0.150s     25.999w     37 calls
JK: K2                              :     19.283u      0.033s      2.893w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.117u      0.017s      0.013w     37 calls
HF: Form D                          :      0.083u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.317u      0.450s      0.716w     34 calls
DIISManager::add_entry              :      0.550u      0.150s      0.105w     34 calls
DIISManager::extrapolate            :      1.317u      0.283s      0.237w     34 calls
bMatrix setup                       :      0.583u      0.117s      0.113w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.717u      0.167s      0.121w     34 calls
HF: Form C                          :     14.483u      0.250s      2.210w     34 calls
DF Integrals                        :    378.950u     24.483s     67.660w      1 calls
Omega Integrals                     :      3.233u      2.200s      1.762w      1 calls
Amplitudes                          :    764.350u     18.233s    123.655w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     53.717u      1.183s      8.246w      1 calls
Exch-Ind20,r                        :      1.317u      0.233s      0.234w      1 calls
Disp20                              :      3.650u      0.200s      0.576w      1 calls
Exch-Disp20                         :     47.767u      0.733s      7.359w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.100w      1 calls
Exch12                              :    333.117u     11.767s     55.800w      1 calls
Ind22                               :     40.717u      7.833s     10.211w      1 calls
Disp21                              :      1.850u      0.500s      0.354w      1 calls
Disp22 (SDQ)                        :     86.000u      4.667s     14.550w      1 calls
Disp22 (T)                          :   4689.200u     40.017s    710.496w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     25.600u      0.000s      3.846w      1 calls
JK: (A|Q)^-1/2                      :      2.600u      0.050s      0.399w      1 calls
JK: (Q|mn)                          :     14.550u      0.033s      2.189w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.104w      3 calls
HF: Form S/X                        :      1.233u      0.033s      0.188w      3 calls
HF: Guess                           :     11.233u      0.300s      1.739w      3 calls
| SAD Guess                         :     11.033u      0.300s      1.701w      3 calls
HF: Form G                          :    209.350u      1.317s     31.664w     37 calls
| JK: D                             :      0.100u      0.000s      0.012w     37 calls
| JK: USO2AO                        :      0.067u      0.000s      0.013w     37 calls
| JK: JK                            :    209.050u      1.317s     31.613w     37 calls
| | JK: J                           :     12.983u      0.067s      1.952w     37 calls
| | | JK: J1                        :      6.367u      0.017s      0.966w     37 calls
| | | JK: J2                        :      6.217u      0.050s      0.945w     37 calls
| | JK: K                           :    192.100u      0.200s     28.898w     37 calls
| | | JK: K1                        :    172.767u      0.150s     25.999w     37 calls
| | | JK: K2                        :     19.283u      0.033s      2.893w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.117u      0.017s      0.013w     37 calls
HF: Form D                          :      0.083u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.317u      0.450s      0.716w     34 calls
| DIISManager::add_entry            :      0.550u      0.150s      0.105w     34 calls
| DIISManager::extrapolate          :      1.317u      0.283s      0.237w     34 calls
| | bMatrix setup                   :      0.583u      0.117s      0.113w     34 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     34 calls
| | New vector                      :      0.717u      0.167s      0.121w     34 calls
HF: Form C                          :     14.483u      0.250s      2.210w     34 calls
DF Integrals                        :    378.950u     24.483s     67.660w      1 calls
Omega Integrals                     :      3.233u      2.200s      1.762w      1 calls
Amplitudes                          :    764.350u     18.233s    123.655w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     53.717u      1.183s      8.246w      1 calls
Exch-Ind20,r                        :      1.317u      0.233s      0.234w      1 calls
Disp20                              :      3.650u      0.200s      0.576w      1 calls
Exch-Disp20                         :     47.767u      0.733s      7.359w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.100w      1 calls
Exch12                              :    333.117u     11.767s     55.800w      1 calls
Ind22                               :     40.717u      7.833s     10.211w      1 calls
Disp21                              :      1.850u      0.500s      0.354w      1 calls
Disp22 (SDQ)                        :     86.000u      4.667s     14.550w      1 calls
Disp22 (T)                          :   4689.200u     40.017s    710.496w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 21:48:36 2019
Timers Off: Mon Sep  9 22:05:09 2019

Wall Time:      993.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     25.983u      0.000s      3.904w      1 calls
JK: (A|Q)^-1/2                      :      2.667u      0.067s      0.410w      1 calls
JK: (Q|mn)                          :     14.317u      0.017s      2.155w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.102w      3 calls
HF: Form S/X                        :      1.167u      0.050s      0.180w      3 calls
HF: Guess                           :     11.167u      0.367s      1.733w      3 calls
SAD Guess                           :     10.933u      0.367s      1.696w      3 calls
HF: Form G                          :    206.850u      1.167s     31.264w     37 calls
JK: D                               :      0.117u      0.000s      0.012w     37 calls
JK: USO2AO                          :      0.067u      0.033s      0.013w     37 calls
JK: JK                              :    206.467u      1.133s     31.213w     37 calls
JK: J                               :     13.117u      0.017s      1.965w     37 calls
JK: J1                              :      6.467u      0.000s      0.969w     37 calls
JK: J2                              :      6.333u      0.000s      0.951w     37 calls
JK: K                               :    189.483u      0.033s     28.481w     37 calls
JK: K1                              :    170.283u      0.017s     25.605w     37 calls
JK: K2                              :     19.150u      0.017s      2.869w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.167u      0.000s      0.014w     37 calls
HF: Form D                          :      0.050u      0.017s      0.012w     37 calls
HF: DIIS                            :      4.200u      0.433s      0.707w     34 calls
DIISManager::add_entry              :      0.517u      0.050s      0.101w     34 calls
DIISManager::extrapolate            :      1.300u      0.367s      0.235w     34 calls
bMatrix setup                       :      0.617u      0.333s      0.115w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.650u      0.033s      0.117w     34 calls
HF: Form C                          :     14.650u      0.217s      2.223w     34 calls
DF Integrals                        :    379.133u     28.383s    107.184w      1 calls
Omega Integrals                     :      3.300u      2.133s      1.728w      1 calls
Amplitudes                          :    703.417u     17.183s    115.697w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.017s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     54.150u      1.233s      8.319w      1 calls
Exch-Ind20,r                        :      1.333u      0.233s      0.235w      1 calls
Disp20                              :      3.583u      0.167s      0.564w      1 calls
Exch-Disp20                         :     47.333u      0.767s      7.293w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.650u      0.100s      0.114w      1 calls
Exch12                              :    327.367u     11.417s     54.817w      1 calls
Ind22                               :     40.033u      7.733s      9.932w      1 calls
Disp21                              :      1.867u      0.450s      0.351w      1 calls
Disp22 (SDQ)                        :     86.517u      4.517s     14.581w      1 calls
Disp22 (T)                          :   4093.150u     32.850s    619.915w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     25.983u      0.000s      3.904w      1 calls
JK: (A|Q)^-1/2                      :      2.667u      0.067s      0.410w      1 calls
JK: (Q|mn)                          :     14.317u      0.017s      2.155w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.102w      3 calls
HF: Form S/X                        :      1.167u      0.050s      0.180w      3 calls
HF: Guess                           :     11.167u      0.367s      1.733w      3 calls
| SAD Guess                         :     10.933u      0.367s      1.696w      3 calls
HF: Form G                          :    206.850u      1.167s     31.264w     37 calls
| JK: D                             :      0.117u      0.000s      0.012w     37 calls
| JK: USO2AO                        :      0.067u      0.033s      0.013w     37 calls
| JK: JK                            :    206.467u      1.133s     31.213w     37 calls
| | JK: J                           :     13.117u      0.017s      1.965w     37 calls
| | | JK: J1                        :      6.467u      0.000s      0.969w     37 calls
| | | JK: J2                        :      6.333u      0.000s      0.951w     37 calls
| | JK: K                           :    189.483u      0.033s     28.481w     37 calls
| | | JK: K1                        :    170.283u      0.017s     25.605w     37 calls
| | | JK: K2                        :     19.150u      0.017s      2.869w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.167u      0.000s      0.014w     37 calls
HF: Form D                          :      0.050u      0.017s      0.012w     37 calls
HF: DIIS                            :      4.200u      0.433s      0.707w     34 calls
| DIISManager::add_entry            :      0.517u      0.050s      0.101w     34 calls
| DIISManager::extrapolate          :      1.300u      0.367s      0.235w     34 calls
| | bMatrix setup                   :      0.617u      0.333s      0.115w     34 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     34 calls
| | New vector                      :      0.650u      0.033s      0.117w     34 calls
HF: Form C                          :     14.650u      0.217s      2.223w     34 calls
DF Integrals                        :    379.133u     28.383s    107.184w      1 calls
Omega Integrals                     :      3.300u      2.133s      1.728w      1 calls
Amplitudes                          :    703.417u     17.183s    115.697w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.017s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     54.150u      1.233s      8.319w      1 calls
Exch-Ind20,r                        :      1.333u      0.233s      0.235w      1 calls
Disp20                              :      3.583u      0.167s      0.564w      1 calls
Exch-Disp20                         :     47.333u      0.767s      7.293w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.650u      0.100s      0.114w      1 calls
Exch12                              :    327.367u     11.417s     54.817w      1 calls
Ind22                               :     40.033u      7.733s      9.932w      1 calls
Disp21                              :      1.867u      0.450s      0.351w      1 calls
Disp22 (SDQ)                        :     86.517u      4.517s     14.581w      1 calls
Disp22 (T)                          :   4093.150u     32.850s    619.915w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 22:05:40 2019
Timers Off: Mon Sep  9 22:21:10 2019

Wall Time:      929.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     25.500u      0.000s      3.830w      1 calls
JK: (A|Q)^-1/2                      :      2.883u      0.067s      0.442w      1 calls
JK: (Q|mn)                          :     14.267u      0.033s      2.147w      1 calls
HF: Form core H                     :      0.050u      0.033s      0.113w      3 calls
HF: Form S/X                        :      1.167u      0.033s      0.182w      3 calls
HF: Guess                           :     11.367u      0.317s      1.758w      3 calls
SAD Guess                           :     11.133u      0.317s      1.720w      3 calls
HF: Form G                          :    204.417u      1.767s     30.998w     37 calls
JK: D                               :      0.083u      0.000s      0.012w     37 calls
JK: USO2AO                          :      0.050u      0.017s      0.014w     37 calls
JK: JK                              :    204.100u      1.750s     30.947w     37 calls
JK: J                               :     13.000u      0.100s      1.966w     37 calls
JK: J1                              :      6.417u      0.050s      0.974w     37 calls
JK: J2                              :      6.217u      0.033s      0.947w     37 calls
JK: K                               :    187.167u      0.500s     28.205w     37 calls
JK: K1                              :    168.033u      0.450s     25.323w     37 calls
JK: K2                              :     19.033u      0.050s      2.875w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.050u      0.000s      0.014w     37 calls
HF: Form D                          :      0.050u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.300u      0.500s      0.720w     34 calls
DIISManager::add_entry              :      0.533u      0.183s      0.104w     34 calls
DIISManager::extrapolate            :      1.217u      0.317s      0.241w     34 calls
bMatrix setup                       :      0.567u      0.217s      0.119w     34 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.003w     34 calls
New vector                          :      0.650u      0.100s      0.119w     34 calls
HF: Form C                          :     14.883u      0.233s      2.264w     34 calls
DF Integrals                        :    372.483u     25.200s     66.717w      1 calls
Omega Integrals                     :      3.400u      2.517s      1.990w      1 calls
Amplitudes                          :    686.000u     17.100s    123.880w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     53.683u      1.350s      8.268w      1 calls
Exch-Ind20,r                        :      1.283u      0.233s      0.228w      1 calls
Disp20                              :      3.533u      0.200s      0.558w      1 calls
Exch-Disp20                         :     47.967u      0.750s      7.371w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.600u      0.100s      0.106w      1 calls
Exch12                              :    330.033u     11.167s     55.045w      1 calls
Ind22                               :     40.133u      7.350s      9.765w      1 calls
Disp21                              :      1.817u      0.450s      0.339w      1 calls
Disp22 (SDQ)                        :     84.850u      4.650s     14.349w      1 calls
Disp22 (T)                          :   3886.283u     30.150s    588.461w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     25.500u      0.000s      3.830w      1 calls
JK: (A|Q)^-1/2                      :      2.883u      0.067s      0.442w      1 calls
JK: (Q|mn)                          :     14.267u      0.033s      2.147w      1 calls
HF: Form core H                     :      0.050u      0.033s      0.113w      3 calls
HF: Form S/X                        :      1.167u      0.033s      0.182w      3 calls
HF: Guess                           :     11.367u      0.317s      1.758w      3 calls
| SAD Guess                         :     11.133u      0.317s      1.720w      3 calls
HF: Form G                          :    204.417u      1.767s     30.998w     37 calls
| JK: D                             :      0.083u      0.000s      0.012w     37 calls
| JK: USO2AO                        :      0.050u      0.017s      0.014w     37 calls
| JK: JK                            :    204.100u      1.750s     30.947w     37 calls
| | JK: J                           :     13.000u      0.100s      1.966w     37 calls
| | | JK: J1                        :      6.417u      0.050s      0.974w     37 calls
| | | JK: J2                        :      6.217u      0.033s      0.947w     37 calls
| | JK: K                           :    187.167u      0.500s     28.205w     37 calls
| | | JK: K1                        :    168.033u      0.450s     25.323w     37 calls
| | | JK: K2                        :     19.033u      0.050s      2.875w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.050u      0.000s      0.014w     37 calls
HF: Form D                          :      0.050u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.300u      0.500s      0.720w     34 calls
| DIISManager::add_entry            :      0.533u      0.183s      0.104w     34 calls
| DIISManager::extrapolate          :      1.217u      0.317s      0.241w     34 calls
| | bMatrix setup                   :      0.567u      0.217s      0.119w     34 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     34 calls
| | New vector                      :      0.650u      0.100s      0.119w     34 calls
HF: Form C                          :     14.883u      0.233s      2.264w     34 calls
DF Integrals                        :    372.483u     25.200s     66.717w      1 calls
Omega Integrals                     :      3.400u      2.517s      1.990w      1 calls
Amplitudes                          :    686.000u     17.100s    123.880w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     53.683u      1.350s      8.268w      1 calls
Exch-Ind20,r                        :      1.283u      0.233s      0.228w      1 calls
Disp20                              :      3.533u      0.200s      0.558w      1 calls
Exch-Disp20                         :     47.967u      0.750s      7.371w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.600u      0.100s      0.106w      1 calls
Exch12                              :    330.033u     11.167s     55.045w      1 calls
Ind22                               :     40.133u      7.350s      9.765w      1 calls
Disp21                              :      1.817u      0.450s      0.339w      1 calls
Disp22 (SDQ)                        :     84.850u      4.650s     14.349w      1 calls
Disp22 (T)                          :   3886.283u     30.150s    588.461w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 22:21:41 2019
Timers Off: Mon Sep  9 22:37:23 2019

Wall Time:      941.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     25.800u      0.000s      3.874w      1 calls
JK: (A|Q)^-1/2                      :      2.833u      0.050s      0.434w      1 calls
JK: (Q|mn)                          :     14.250u      0.017s      2.142w      1 calls
HF: Form core H                     :      0.067u      0.000s      0.108w      3 calls
HF: Form S/X                        :      1.183u      0.050s      0.199w      3 calls
HF: Guess                           :     11.433u      0.250s      1.758w      3 calls
SAD Guess                           :     11.183u      0.250s      1.720w      3 calls
HF: Form G                          :    209.233u      1.417s     31.660w     37 calls
JK: D                               :      0.067u      0.000s      0.012w     37 calls
JK: USO2AO                          :      0.083u      0.017s      0.013w     37 calls
JK: JK                              :    208.983u      1.400s     31.610w     37 calls
JK: J                               :     12.783u      0.100s      1.925w     37 calls
JK: J1                              :      6.300u      0.033s      0.954w     37 calls
JK: J2                              :      6.167u      0.050s      0.932w     37 calls
JK: K                               :    192.067u      0.150s     28.894w     37 calls
JK: K1                              :    172.550u      0.100s     25.962w     37 calls
JK: K2                              :     19.433u      0.050s      2.926w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.150u      0.000s      0.013w     37 calls
HF: Form D                          :      0.067u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.217u      0.483s      0.716w     34 calls
DIISManager::add_entry              :      0.600u      0.167s      0.104w     34 calls
DIISManager::extrapolate            :      1.150u      0.317s      0.230w     34 calls
bMatrix setup                       :      0.567u      0.200s      0.112w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.567u      0.117s      0.115w     34 calls
HF: Form C                          :     14.233u      0.167s      2.165w     34 calls
DF Integrals                        :    368.767u     22.667s     65.180w      1 calls
Omega Integrals                     :      3.300u      2.250s      1.755w      1 calls
Amplitudes                          :    682.783u     18.300s    111.405w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     53.750u      1.283s      8.265w      1 calls
Exch-Ind20,r                        :      1.283u      0.250s      0.232w      1 calls
Disp20                              :      3.467u      0.183s      0.548w      1 calls
Exch-Disp20                         :     47.633u      0.750s      7.327w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.100s      0.101w      1 calls
Exch12                              :    328.617u     11.067s     54.815w      1 calls
Ind22                               :     39.583u      7.233s      9.661w      1 calls
Disp21                              :      1.800u      0.467s      0.341w      1 calls
Disp22 (SDQ)                        :     84.567u      4.483s     14.266w      1 calls
Disp22 (T)                          :   4057.450u     32.400s    614.506w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     25.800u      0.000s      3.874w      1 calls
JK: (A|Q)^-1/2                      :      2.833u      0.050s      0.434w      1 calls
JK: (Q|mn)                          :     14.250u      0.017s      2.142w      1 calls
HF: Form core H                     :      0.067u      0.000s      0.108w      3 calls
HF: Form S/X                        :      1.183u      0.050s      0.199w      3 calls
HF: Guess                           :     11.433u      0.250s      1.758w      3 calls
| SAD Guess                         :     11.183u      0.250s      1.720w      3 calls
HF: Form G                          :    209.233u      1.417s     31.660w     37 calls
| JK: D                             :      0.067u      0.000s      0.012w     37 calls
| JK: USO2AO                        :      0.083u      0.017s      0.013w     37 calls
| JK: JK                            :    208.983u      1.400s     31.610w     37 calls
| | JK: J                           :     12.783u      0.100s      1.925w     37 calls
| | | JK: J1                        :      6.300u      0.033s      0.954w     37 calls
| | | JK: J2                        :      6.167u      0.050s      0.932w     37 calls
| | JK: K                           :    192.067u      0.150s     28.894w     37 calls
| | | JK: K1                        :    172.550u      0.100s     25.962w     37 calls
| | | JK: K2                        :     19.433u      0.050s      2.926w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.150u      0.000s      0.013w     37 calls
HF: Form D                          :      0.067u      0.000s      0.012w     37 calls
HF: DIIS                            :      4.217u      0.483s      0.716w     34 calls
| DIISManager::add_entry            :      0.600u      0.167s      0.104w     34 calls
| DIISManager::extrapolate          :      1.150u      0.317s      0.230w     34 calls
| | bMatrix setup                   :      0.567u      0.200s      0.112w     34 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     34 calls
| | New vector                      :      0.567u      0.117s      0.115w     34 calls
HF: Form C                          :     14.233u      0.167s      2.165w     34 calls
DF Integrals                        :    368.767u     22.667s     65.180w      1 calls
Omega Integrals                     :      3.300u      2.250s      1.755w      1 calls
Amplitudes                          :    682.783u     18.300s    111.405w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     53.750u      1.283s      8.265w      1 calls
Exch-Ind20,r                        :      1.283u      0.250s      0.232w      1 calls
Disp20                              :      3.467u      0.183s      0.548w      1 calls
Exch-Disp20                         :     47.633u      0.750s      7.327w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.100s      0.101w      1 calls
Exch12                              :    328.617u     11.067s     54.815w      1 calls
Ind22                               :     39.583u      7.233s      9.661w      1 calls
Disp21                              :      1.800u      0.467s      0.341w      1 calls
Disp22 (SDQ)                        :     84.567u      4.483s     14.266w      1 calls
Disp22 (T)                          :   4057.450u     32.400s    614.506w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 22:37:55 2019
Timers Off: Mon Sep  9 22:53:46 2019

Wall Time:      951.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     25.700u      0.017s      3.861w      1 calls
JK: (A|Q)^-1/2                      :      2.883u      0.050s      0.442w      1 calls
JK: (Q|mn)                          :     14.017u      0.017s      2.111w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.112w      3 calls
HF: Form S/X                        :      1.133u      0.033s      0.172w      3 calls
HF: Guess                           :     11.200u      0.283s      1.722w      3 calls
SAD Guess                           :     10.967u      0.267s      1.685w      3 calls
HF: Form G                          :    205.750u      1.383s     31.138w     37 calls
JK: D                               :      0.033u      0.000s      0.011w     37 calls
JK: USO2AO                          :      0.083u      0.000s      0.013w     37 calls
JK: JK                              :    205.483u      1.383s     31.089w     37 calls
JK: J                               :     12.400u      0.083s      1.872w     37 calls
JK: J1                              :      6.150u      0.067s      0.927w     37 calls
JK: J2                              :      6.067u      0.017s      0.906w     37 calls
JK: K                               :    189.150u      0.267s     28.453w     37 calls
JK: K1                              :    169.900u      0.200s     25.553w     37 calls
JK: K2                              :     19.167u      0.067s      2.894w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.083u      0.000s      0.013w     37 calls
HF: Form D                          :      0.117u      0.000s      0.011w     37 calls
HF: DIIS                            :      4.300u      0.433s      0.712w     34 calls
DIISManager::add_entry              :      0.500u      0.083s      0.104w     34 calls
DIISManager::extrapolate            :      1.217u      0.283s      0.225w     34 calls
bMatrix setup                       :      0.517u      0.167s      0.108w     34 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.003w     34 calls
New vector                          :      0.650u      0.117s      0.113w     34 calls
HF: Form C                          :     13.883u      0.200s      2.110w     34 calls
DF Integrals                        :    376.150u     28.533s    104.504w      1 calls
Omega Integrals                     :      3.283u      2.283s      1.830w      1 calls
Amplitudes                          :    661.767u     17.650s    108.163w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     54.600u      1.267s      8.390w      1 calls
Exch-Ind20,r                        :      1.333u      0.233s      0.236w      1 calls
Disp20                              :      3.567u      0.200s      0.567w      1 calls
Exch-Disp20                         :     48.633u      0.733s      7.471w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.633u      0.083s      0.109w      1 calls
Exch12                              :    333.433u     11.683s     55.806w      1 calls
Ind22                               :     40.250u      7.733s     10.045w      1 calls
Disp21                              :      1.833u      0.500s      0.350w      1 calls
Disp22 (SDQ)                        :     85.617u      4.933s     14.634w      1 calls
Disp22 (T)                          :   3882.167u     27.417s    587.373w      1 calls

--------------------------------------------------------------------------------------
