
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: J2                        :      5.967u      0.017s      0.896w     38 calls
| | JK: K                           :    164.167u      0.017s     24.669w     38 calls
| | | JK: K1                        :    146.500u      0.017s     22.019w     38 calls
| | | JK: K2                        :     17.533u      0.000s      2.644w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.017u      0.000s      0.011w     38 calls
HF: Form D                          :      0.033u      0.000s      0.011w     38 calls
HF: DIIS                            :      3.883u      0.383s      0.650w     35 calls
| DIISManager::add_entry            :      0.400u      0.117s      0.090w     35 calls
| DIISManager::extrapolate          :      1.050u      0.250s      0.210w     35 calls
| | bMatrix setup                   :      0.550u      0.150s      0.105w     35 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     35 calls
| | New vector                      :      0.483u      0.100s      0.102w     35 calls
HF: Form C                          :     13.750u      0.150s      2.066w     35 calls
DF Integrals                        :    308.550u     21.700s     55.238w      1 calls
Omega Integrals                     :      3.117u      2.083s      1.591w      1 calls
Amplitudes                          :    634.050u     18.567s    103.197w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     46.650u      1.317s      7.204w      1 calls
Exch-Ind20,r                        :      1.200u      0.217s      0.211w      1 calls
Disp20                              :      3.083u      0.167s      0.489w      1 calls
Exch-Disp20                         :     40.783u      0.883s      6.288w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.096w      1 calls
Exch12                              :    273.583u     10.067s     45.919w      1 calls
Ind22                               :     35.400u      6.817s      8.756w      1 calls
Disp21                              :      1.633u      0.383s      0.303w      1 calls
Disp22 (SDQ)                        :     72.167u      4.100s     12.278w      1 calls
Disp22 (T)                          :   3473.483u     22.983s    526.729w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:32:40 2019
Timers Off: Mon Sep  9 16:47:05 2019

Wall Time:      864.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     22.283u      0.000s      3.346w      1 calls
JK: (A|Q)^-1/2                      :      2.517u      0.067s      0.387w      1 calls
JK: (Q|mn)                          :     11.733u      0.033s      1.766w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.082w      3 calls
HF: Form S/X                        :      1.117u      0.017s      0.173w      3 calls
HF: Guess                           :     14.100u      0.233s      2.152w      3 calls
SAD Guess                           :     13.850u      0.233s      2.114w      3 calls
HF: Form G                          :    180.883u      1.217s     27.340w     38 calls
JK: D                               :      0.183u      0.000s      0.011w     38 calls
JK: USO2AO                          :      0.100u      0.000s      0.012w     38 calls
JK: JK                              :    180.383u      1.217s     27.293w     38 calls
JK: J                               :     13.083u      0.033s      1.971w     38 calls
JK: J1                              :      6.333u      0.000s      0.959w     38 calls
JK: J2                              :      6.317u      0.033s      0.960w     38 calls
JK: K                               :    163.617u      0.150s     24.606w     38 calls
JK: K1                              :    145.600u      0.117s     21.898w     38 calls
JK: K2                              :     17.867u      0.017s      2.702w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.017u      0.000s      0.012w     38 calls
HF: Form D                          :      0.050u      0.017s      0.012w     38 calls
HF: DIIS                            :      4.067u      0.433s      0.677w     35 calls
DIISManager::add_entry              :      0.533u      0.117s      0.095w     35 calls
DIISManager::extrapolate            :      1.167u      0.300s      0.222w     35 calls
bMatrix setup                       :      0.583u      0.167s      0.110w     35 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.003w     35 calls
New vector                          :      0.517u      0.133s      0.109w     35 calls
HF: Form C                          :     13.633u      0.183s      2.071w     35 calls
DF Integrals                        :    316.350u     24.683s    103.760w      1 calls
Omega Integrals                     :      3.150u      1.967s      1.564w      1 calls
Amplitudes                          :    582.083u     15.367s     94.684w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     48.650u      1.433s      7.523w      1 calls
Exch-Ind20,r                        :      1.250u      0.217s      0.220w      1 calls
Disp20                              :      3.133u      0.150s      0.496w      1 calls
Exch-Disp20                         :     41.933u      0.683s      6.433w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.097w      1 calls
Exch12                              :    285.417u     10.033s     47.715w      1 calls
Ind22                               :     37.183u      6.750s      8.914w      1 calls
Disp21                              :      1.683u      0.433s      0.316w      1 calls
Disp22 (SDQ)                        :     74.767u      4.167s     12.658w      1 calls
Disp22 (T)                          :   3517.050u     30.133s    533.069w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     22.283u      0.000s      3.346w      1 calls
JK: (A|Q)^-1/2                      :      2.517u      0.067s      0.387w      1 calls
JK: (Q|mn)                          :     11.733u      0.033s      1.766w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.082w      3 calls
HF: Form S/X                        :      1.117u      0.017s      0.173w      3 calls
HF: Guess                           :     14.100u      0.233s      2.152w      3 calls
| SAD Guess                         :     13.850u      0.233s      2.114w      3 calls
HF: Form G                          :    180.883u      1.217s     27.340w     38 calls
| JK: D                             :      0.183u      0.000s      0.011w     38 calls
| JK: USO2AO                        :      0.100u      0.000s      0.012w     38 calls
| JK: JK                            :    180.383u      1.217s     27.293w     38 calls
| | JK: J                           :     13.083u      0.033s      1.971w     38 calls
| | | JK: J1                        :      6.333u      0.000s      0.959w     38 calls
| | | JK: J2                        :      6.317u      0.033s      0.960w     38 calls
| | JK: K                           :    163.617u      0.150s     24.606w     38 calls
| | | JK: K1                        :    145.600u      0.117s     21.898w     38 calls
| | | JK: K2                        :     17.867u      0.017s      2.702w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.017u      0.000s      0.012w     38 calls
HF: Form D                          :      0.050u      0.017s      0.012w     38 calls
HF: DIIS                            :      4.067u      0.433s      0.677w     35 calls
| DIISManager::add_entry            :      0.533u      0.117s      0.095w     35 calls
| DIISManager::extrapolate          :      1.167u      0.300s      0.222w     35 calls
| | bMatrix setup                   :      0.583u      0.167s      0.110w     35 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.003w     35 calls
| | New vector                      :      0.517u      0.133s      0.109w     35 calls
HF: Form C                          :     13.633u      0.183s      2.071w     35 calls
DF Integrals                        :    316.350u     24.683s    103.760w      1 calls
Omega Integrals                     :      3.150u      1.967s      1.564w      1 calls
Amplitudes                          :    582.083u     15.367s     94.684w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     48.650u      1.433s      7.523w      1 calls
Exch-Ind20,r                        :      1.250u      0.217s      0.220w      1 calls
Disp20                              :      3.133u      0.150s      0.496w      1 calls
Exch-Disp20                         :     41.933u      0.683s      6.433w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.097w      1 calls
Exch12                              :    285.417u     10.033s     47.715w      1 calls
Ind22                               :     37.183u      6.750s      8.914w      1 calls
Disp21                              :      1.683u      0.433s      0.316w      1 calls
Disp22 (SDQ)                        :     74.767u      4.167s     12.658w      1 calls
